!EXCLAMATION-POINT = éksklemēśenpōnt
ELECTRIFY = iléktrefā
ELECTRIFYING = iléktrefāiŋ
ELECTRIQUE = éléktrík
ELECTRO = iléktrò
ELECTROBIOLOGY = iléktròbāalejí
ELECTROBIOLOGY'S = iléktròbāalejíz
ELECTROCARDIOGRAM = iléktròkardiegrám
ELECTROCARDIOGRAMS = iléktròkardiegrámz
ELECTROCHEMICAL = aléktròkémikel
ELECTROCOM = iléktròkom
ELECTROCUTE = iléktrekyút
ELECTROCUTED = iléktrekyútid
ELECTROCUTION = iléktrekyúśen
ELECTROCUTIONS = iléktrekyúśenz
ELECTRODE = iléktròd
ELECTRODES = iléktròdz
ELECTRODYNAMIC = iléktròdānámik
ELECTRODYNAMICS = iléktròdānámiks
ELECTROLUX = éléktreleks
ELECTROLYSIS = éléktrolesis
ELECTROLYTIC = iléktrelitik
ELECTROMAGNET = iléktròmágnet
ELECTROMAGNETIC = iléktròmegnétik
ELECTROMAGNETISM = iléktròmágnetizem
ELECTROMAGNETS = iléktròmágnets
ELECTROMECHANICAL = iléktròmekánikel
ELECTROMEDICS = iléktròmédiks
ELECTRON = iléktren
ELECTRONIC = iléktronik
ELECTRONICALLY = iléktronikelí
ELECTRONICS = iléktroniks
ELECTRONICS' = iléktroniks
ELECTRONS = iléktrenz
ELECTROPHORESIS = iléktròforisis
ELECTROPHORETOGRAM = iléktròferétegrám
ELECTROPLATE = iléktreplēt
ELECTROPLATING = iléktreplētiŋ
ELECTROSHOCK = iléktròśok
ELECTROSOUND = iléktròsànd
ELECTROSPACE = iléktròspēs
ELECTROSPRAY = iléktròsprē
ELECTROSTATIC = iléktròstátik
ELECTS = ilékts
ELEDGE = élij
ELEEN = élín
ELEFANTE = éléfanté
ELEGANCE = élegens
ELEGANT = élegent
ELEGANTLY = éligentlí
ELEGY = élejí
ELEK = élik
ELEKTRA = éléktre
ELEKTRISK = iléktrisk
ELEKTRIZITAETSWERK = éliktrizitátswerk
ELEKTRON = iléktren
ELEMENT = élement
ELEMENTAL = éleméntel
ELEMENTAL(1) = éleménel
ELEMENTARY = éleméntri
ELEMENTARY(1) = éleménterri
ELEMENTARY(2) = éleméncri
ELEMENTS = élements
ELENA = élene
ELENA(1) = élēne
ELENA'S = élenez
ELENBAAS = élinbez
ELENE = élin
ELENORE = éliner
ELEONORE = élienori
ELEPHANT = élefent
ELEPHANT'S = élefents
ELEPHANTIASIS = élifentāesis
ELEPHANTINE = élefántín
ELEPHANTS = élefents
ELEPHANTS' = élefents
ELETR = életer
ELEUTHERA = ilúŧere
ELEVATE = élevēt
ELEVATED = élevētid
ELEVATES = élevēts
ELEVATING = élevētiŋ
ELEVATION = élevēśen
ELEVATIONS = élevēśenz
ELEVATOR = élevēter
ELEVATORS = élevēterz
ELEVEN = iléven
ELEVEN(1) = íléven
ELEVEN'S = ilévenz
ELEVEN'S(1) = ílévenz
ELEVENS = ilévenz
ELEVENS(1) = ílévenz
ELEVENTH = ilévenŧ
ELEVENTH(1) = ílévenŧ
ELEXIS = éléksis
ELEY = íli
ELF = élf
ELF'S = élfs
ELFERS = élferz
ELFIE = élfi
ELFIN = élfin
ELFISH = élfiś
ELFMAN = élfmen
ELFORD = élferd
ELFREDA = élfréde
ELFRIDA = élfríde
ELFRIEDA = élfríde
ELFRINK = élfriŋk
ELFSTROM = élfstrem
ELG = élg
ELGA = ilga
ELGABROWNY = élgebràni
ELGAR = élger
ELGAR'S = élgerz
ELGART = ēlgert
ELGER = élger
ELGERSMA = éljérsme
ELGIE = élji
ELGIN = éljin
ELI = ílā
ELIA = elāe
ELIADES = ílíēdz
ELIAS = elāes
ELIASON = elāesen
ELIASSEN = elāesen
ELICH = élik
ELICIT = ilisit
ELICITED = ilisitid
ELICITING = ilisetiŋ
ELICITS = ilisets
ELICK = élik
ELICKER = éliker
ELIE = éli
ELIGAYA = élegāe
ELIGIBILITY = élijebiliti
ELIGIBLE = élejebel
ELIGIBLE(1) = élijebel
ELIHU = élihú
ELIJAH = élāje
ELIJAH(1) = ilāje
ELIMINATE = ilimenēt
ELIMINATED = ilimenēted
ELIMINATED(1) = ilimenētid
ELIMINATES = ilimenēts
ELIMINATING = ilimenētiŋ
ELIMINATION = ilimenēśen
ELIMINATIONS = iliminēśenz
ELINE = élān
ELINOR = éliner
ELINORE = élinori
ELIO = éliò
ELIOPOULOS = éliapelis
ELIOT = éliet
ELIOT'S = éliets
ELIOTT = éliet
ELISA = elíse
ELISA(1) = elíze
ELISA'S = elísez
ELISA'S(1) = elízez
ELISABETH = ilizebiŧ
ELISE = elís
ELISH = éliś
ELISHA = éliśe
ELISON = élisen
ELISSA = élíse
ELITE = ilít
ELITE(1) = ēlít
ELITES = ilíts
ELITES(1) = ēlíts
ELITISM = élitizem
ELITISM(1) = ēlítizem
ELITIST = ēlítist
ELITIST(1) = ilítist
ELITISTS = ēlítists
ELITISTS(1) = ilítists
ELIXIR = ilikser
ELIZA = ilāze
ELIZABETH = ilizebeŧ
ELIZABETH(1) = ilizebiŧ
ELIZABETH'S = ilizebeŧs
ELIZABETHAN = élizebíŧen
ELIZABETHTOWN = elizebéŧtàn
ELIZALDE = élizaldi
ELIZONDO = élizondò
ELJER = éljer
ELK = élk
ELKES = élks
ELKHART = élkhart
ELKHORN = élkhorn
ELKIN = ilkin
ELKIND = ilkānd
ELKIND(1) = élkind
ELKINGTON = élkiŋten
ELKINS = élkinz
ELKO = élkò
ELKS = élks
ELKTON = élkten
ELL = él
ELLA = éle
ELLA'S = élez
ELLAMAY = élemē
ELLAN = élen
ELLAN'S = élenz
ELLARD = élerd
ELLE = él
ELLEDGE = élij
ELLEFSON = élifsen
ELLEGOOD = éligud
ELLEMANN = élemen
ELLEN = élen
ELLEN'S = élenz
ELLENA = éléne
ELLENBECKER = élinbéker
ELLENBERG = élenberg
ELLENBERGER = élenberger
ELLENBOGEN = élinbegen
ELLENBURG = élenberg
ELLENDER = élénder
ELLENE = élín
ELLENPORE = élinpor
ELLENSON = élinsen
ELLENWOOD = élenwud
ELLER = éler
ELLERBE = élerb
ELLERBEE = ilerbi
ELLERBROCK = ilerbrek
ELLERBY = élerbi
ELLEREY = éleri
ELLERMAN = élermen
ELLERS = élerz
ELLERT = élert
ELLERTSON = élertsen
ELLERY = éleri
ELLESMERE = élzmir
ELLESSE = élés
ELLESTAD = élisted
ELLETT = élit
ELLETTE = ilét
ELLEY = éli
ELLICE = élis
ELLICOTT = éliket
ELLIE = éli
ELLIFF = élif
ELLIJAY = ilājē
ELLIMAN = élimen
ELLING = éliŋ
ELLINGER = éliŋer
ELLINGSEN = éliŋsen
ELLINGSON = éliŋsen
ELLINGSWORTH = éliŋzwerŧ
ELLINGTON = éliŋten
ELLINGTON'S = éliŋtenz
ELLINGWOOD = éliŋwud
ELLINWOOD = élinwud
ELLIOS = élyòs
ELLIOT = éliet
ELLIOTT = éliet
ELLIOTT'S = éliets
ELLIPSE = ilips
ELLIPSOID = ilipsōd
ELLIPSOIDS = ilipsōdz
ELLIPTICAL = iliptikel
ELLIS = élis
ELLIS'S = élisiz
ELLISON = élisen
ELLISOR = éliser
ELLISTON = élisten
ELLITHORPE = éliŧerp
ELLMAN = élmen
ELLMANN = élmen
ELLNER = élner
ELLROY = élrō
ELLS = élz
ELLSBERG = élzberg
ELLSBERG'S = élzbergz
ELLSBURG = élzberg
ELLSWORTH = élzwerŧ
ELLWANGER = élwóŋer
ELLWOOD = élwud
ELLWOOD'S = élwudz
ELLY = éli
ELLYN = élin
ELLYSON = élisen
ELLZEY = élzi
ELM = élm
ELMA = élme
ELMAN = élmen
ELMENDORF = élmindorf
ELMER = élmer
ELMES = élmz
ELMHURST = élmherst
ELMIRA = élmāre
ELMO = élmò
ELMOOTAZBELL = élmútazbél
ELMOOTAZBELLAH = élmútazbéle
ELMORE = élmor
ELMQUIST = élmkwist
ELMS = élmz
ELMSFORD = élmzferd
ELMWOOD = élmwud
ELNA = ilna
ELNORA = élnore
ELNORE = ilnor
ELNOZAHY = élnòzahi
ELOCUTION = élekyúśen
ELOCUTIONS = élekyúśenz
ELOISA = élōse
ELOISE = ilōz
ELOISE(1) = élòiz
ELOMMAL = ilòmel
ELONGATE = ilóŋgēt
ELONGATED = ilóŋgēted
ELONGATION = ílóŋgēśen
ELOPE = ilòp
ELOPES = ilòps
ELOQUENCE = élekwens
ELOQUENT = élekwent
ELOQUENTLY = élekwentli
ELOUISE = élewíz
ELOY = ílō
ELPERS = élperz
ELRICA = élrike
ELRICH = élric
ELRICK = élrik
ELROD = ilrod
ELRON = élren
ELROY = ilrō
ELS = élz
ELSA = élse
ELSAS = élsez
ELSASSER = élseser
ELSBERRY = élzbéri
ELSBURY = élzbéri
ELSDON = élsden
ELSE = éls
ELSE'S = élsiz
ELSEA = élsie
ELSEN = élsen
ELSER = élser
ELSES = élsiz
ELSESSER = élsiser
ELSEVIER = élsévyer
ELSEVIER(1) = élsevir
ELSEVIER'S = élsévyerz
ELSEVIER'S(1) = élsevirz
ELSEWHERE = élswér
ELSEY = élsi
ELSIE = élsi
ELSIE'S = élsiz
ELSINORE = élsenor
ELSNER = élsner
ELSON = élsen
ELSTAD = élsted
ELSTER = élster
ELSTON = ilston
ELSWICK = élzwik
ELSWORTH = élzwerŧ
ELTING = éltiŋ
ELTON = élten
ELTRINGHAM = éltriŋem
ELTZROTH = éltsróŧ
ELUCIDATE = ilúsedēt
ELUCIDATED = ilúsedēted
ELUCIDATIVE = ilúsedētiv
ELUDE = ilúd
ELUDED = ilúdid
ELUDES = ilúdz
ELUDING = ilúdiŋ
ELUSIVE = ilúsiv
ELUSIVENESS = ilúsivnes
ELVA = élve
ELVERA = ēlvére
ELVERS = élverz
ELVES = élvz
ELVGREN = élvgrén
ELVIA = élvie
ELVIE = élvi
ELVIN = élvin
ELVINA = élvíne
ELVING = élviŋ
ELVINGTON = élviŋten
ELVIRA = élvāre
ELVIRE = élvār
ELVIS = élvis
ELVIS' = élvis
ELVIS'S = élvisiz
ELVY = élvi
ELWAY = élwē
ELWAY'S = élwēz
ELWELL = ilwél
ELWIN = élwin
ELWOOD = élwud
ELXSI = élksi
ELY = ílā
ELYN = élin
ELYRIA = ilirie
ELYSE = élās
ELYSEE = élisí
ELYSEE(1) = élisí
ELYSEES = élisíz
ELYSEES(1) = élisíz
ELYSIA = iliźie
ELYSIA(1) = ilíźe
ELYSIUM = iliziem
ELZA = élze
ELZEY = élzi
ELZINGA = élzíŋge
ELZY = élzi
EM = ém
EMA = íme
EMACIATE = imēśiēt
EMACIATED = imēśiētid
EMACIATES = imēśiēts
EMACIATING = imēśiētiŋ
EMAD = ímed
EMAIL = imēl
EMAILED = imēld
EMAILING = imēliŋ
EMAILS = imēlz
EMANATE = émenēt
EMANATED = émenētid
EMANATES = émenēts
EMANATING = émenētiŋ
EMANATION = émenēśen
EMANATIONS = émenēśenz
EMANCIPATE = imánsepēt
EMANCIPATED = imánsepētid
EMANCIPATES = imánsepēts
EMANCIPATING = imánsepētiŋ
EMANCIPATION = imánsepēśen
EMANCIPATIONS = imánsepēśenz
EMANUEL = imányúel
EMANUELE = ēmenúélē
EMANUELSON = imánúlsen
EMARD = émerd
EMASCULATE = emáskyúlit
EMASCULATE(1) = emáskyúlēt
EMASCULATED = emáskyúlētid
EMBALM = émbam
EMBALMED = émbamd
EMBALMING = émbamiŋ
EMBANKMENT = émbáŋkment
EMBANKMENTS = émbáŋkments
EMBARCADERO = émbarkedérò
EMBARGO = émbargò
EMBARGOED = imbargòd
EMBARGOES = émbargòz
EMBARK = émbark
EMBARK(1) = imbark
EMBARKATION = émberkēśen
EMBARKED = émbarkt
EMBARKING = émbarkiŋ
EMBARKS = imbarks
EMBARRASS = imbéres
EMBARRASSED = imbérest
EMBARRASSES = imbáresiz
EMBARRASSING = imbéresiŋ
EMBARRASSINGLY = imbéresiŋli
EMBARRASSMENT = imbéresment
EMBARRASSMENTS = imbéresments
EMBASSIES = émbesiz
EMBASSY = émbesi
EMBASSY'S = émbesiz
EMBATTLE = émbátel
EMBATTLED = émbáteld
EMBAYMENT = émbēment
EMBED = imbéd
EMBEDDED = émbédid
EMBELLISH = imbéliś
EMBELLISHED = émbéliśt
EMBELLISHES = émbéliśez
EMBELLISHING = émbéliśiŋ
EMBELLISHMENT = émbéliśment
EMBER = émber
EMBERS = émberz
EMBERSON = émbersen
EMBERTON = imberten
EMBERTON(1) = émberten
EMBEZZLE = imbézel
EMBEZZLED = imbézeld
EMBEZZLEMENT = émbézelment
EMBEZZLER = imbézeler
EMBEZZLER(1) = émbézler
EMBEZZLERS = imbézelerz
EMBEZZLERS(1) = émbézlerz
EMBEZZLES = imbézelz
EMBEZZLING = imbézeliŋ
EMBEZZLING(1) = émbézliŋ
EMBEZZLING(2) = imbézliŋ
EMBEZZLING(3) = émbézeliŋ
EMBITTER = émbiter
EMBITTERED = émbiterd
EMBLAZON = émblēzen
EMBLAZONED = émblēzend
EMBLEM = émblem
EMBLEMATIC = émblemátik
EMBLEMS = émblemz
EMBLER = émbler
EMBLETON = émbliten
EMBLETON(1) = émbelten
EMBODIED = imbodid
EMBODIES = émbodiz
EMBODIMENT = émbodiment
EMBODY = imbodi
EMBODYING = imbodiiŋ
EMBOLDEN = émbòlden
EMBOLDENED = émbòldend
EMBOLISM = émbòlizem
EMBOLISMS = émbòlizemz
EMBOSS = imbós
EMBOSSED = imbóst
EMBRACE = émbrēs
EMBRACE(1) = imbrēs
EMBRACEABLE = imbrēsebel
EMBRACED = émbrēst
EMBRACES = émbrēsiz
EMBRACING = émbrēsiŋ
EMBREE = imbrí
EMBREY = émbri
EMBROIDER = imbrōder
EMBROIDERED = émbrōderd
EMBROIDERER = émbrōderer
EMBROIDERERS = émbrōdererz
EMBROIDERIES = imbrōderiz
EMBROIDERING = émbrōderiŋ
EMBROIDERY = émbrōderi
EMBROIL = émbrōl
EMBROILED = émbrōld
EMBROSE = émbròz
EMBRY = émbri
EMBRYO = émbriò
EMBRYOLOGY = émbrialeji
EMBRYONIC = émbrianik
EMBRYOS = émbriòz
EMBURY = émbéri
EMCEE = émsí
EMCH = émc
EMCO = émkò
EMDE = émd
EMDR = íémdíar
EMEL = émel
EMELDA = émélde
EMELIE = émeli
EMELINA = émélíne
EMELINE = émilān
EMELITA = émélíte
EMELYNE = émilān
EMENS = éménz
EMERA = émére
EMERALD = émreld
EMERALD(1) = émerreld
EMERALDS = émreldz
EMERALDS(1) = émerreldz
EMERANT = ēmérent
EMERAUDE = émeràd
EMERGE = imerj
EMERGE(1) = ímerj
EMERGED = imerjd
EMERGED(1) = ímerjd
EMERGENCE = imerjens
EMERGENCE(1) = ímerjens
EMERGENCIES = imerjensiz
EMERGENCIES(1) = ímerjensiz
EMERGENCY = imerjensi
EMERGENCY(1) = ímerjensi
EMERGENT = imerjent
EMERGENT(1) = ímerjent
EMERGES = imerjiz
EMERGES(1) = ímerjiz
EMERGING = imerjiŋ
EMERGING(1) = ímerjiŋ
EMERICH = émerik
EMERICK = émerik
EMERINE = émerín
EMERITUS = iméretes
EMERSE = imers
EMERSED = imerst
EMERSON = émersen
EMERSON'S = émersenz
EMERT = émert
EMERTON = imerten
EMERTON(1) = émerten
EMERY = émeri
EMERY'S = émeriz
EMERYVILLE = émerivil
EMETIC = imétik
EMFINGER = émfiŋer
EMGE = émj
EMHART = émhart
EMICK = émik
EMIG = émig
EMIGH = émā
EMIGRANT = émegrent
EMIGRANTS = émegrents
EMIGRATE = émegrēt
EMIGRATED = émegrētid
EMIGRATES = émegrēts
EMIGRATING = émegrētiŋ
EMIGRATION = émegrēśen
EMIGRATIONS = émegrēśenz
EMIGRE = émegrē
EMIGRES = émegrēz
EMIL = émíl
EMILE = ēmíl
EMILIA = emílie
EMILIE = émeli
EMILIO = emíliò
EMILO = émílò
EMILO'S = émílòz
EMILY = émili
EMILY'S = émiliz
EMINA = émíne
EMINASE = éminasi
EMINENCE = émenens
EMINENCES = émenensiz
EMINENT = émenent
EMINENTLY = émenentli
EMIR = imir
EMIR(1) = ēmir
EMIRATE = émeret
EMIRATE(1) = émerēt
EMIRATES = émerets
EMIRATES(1) = émerēts
EMIRATES' = émerets
EMIRATES'(1) = émerēts
EMISON = émisen
EMISSARIES = émesériz
EMISSARY = émeséri
EMISSION = imiśen
EMISSIONS = imiśenz
EMIT = imit
EMITS = imits
EMITTED = imited
EMITTED(1) = imitid
EMITTER = imiter
EMITTING = imitiŋ
EMLER = émler
EMLEY = émli
EMLING = émliŋ
EMLYN = imlin
EMLYNNE = imlān
EMMA = éme
EMMA'S = émez
EMMALINE = émelíni
EMMANUEL = imányúel
EMMANUELLE = imanúél
EMMAUS = émàs
EMME = ém
EMMEL = émel
EMMELINE = émelān
EMMENDORFER = émindorfer
EMMER = émer
EMMERICH = émerik
EMMERLING = émerliŋ
EMMERSON = émersen
EMMERT = émert
EMMERY = émeri
EMMET = émit
EMMETT = émit
EMMI = émi
EMMICK = émik
EMMIE = émi
EMMINGER = émiŋer
EMMIS = émis
EMMIT = émit
EMMITT = émit
EMMONS = émenz
EMMOTT = émet
EMMY = émi
EMMY'S = émiz
EMMYS = émiz
EMO = ímò
EMOGENE = émegin
EMOND = émend
EMORY = émeri
EMORY'S = émeriz
EMOTICON = emòtekon
EMOTION = imòśen
EMOTION(1) = ímòśen
EMOTIONAL = imòśenel
EMOTIONAL(1) = ímòśenel
EMOTIONALISM = imòśenelizem
EMOTIONALISM(1) = ímòśnelizem
EMOTIONALLY = imòśneli
EMOTIONALLY(1) = ímòśneli
EMOTIONS = imòśenz
EMOTIONS(1) = imòśenz
EMOTIVE = imòtiv
EMOTIVE(1) = ímòtiv
EMPANEL = impánel
EMPANELED = impáneld
EMPANELING = émpáneliŋ
EMPATH = émpáŧ
EMPATHETIC = émpeŧétik
EMPATHIZE = émpeŧāz
EMPATHY = émpeŧi
EMPEROR = émperer
EMPEROR'S = émpererz
EMPERORS = émpererz
EMPEY = émpi
EMPHASES = émfesíz
EMPHASIS = émfesis
EMPHASIZE = émfesāz
EMPHASIZED = émfesāzd
EMPHASIZES = émfesāziz
EMPHASIZING = émfesāziŋ
EMPHATIC = émfátik
EMPHATICALLY = émfátikeli
EMPHYSEMA = émfezíme
EMPIE = émpi
EMPIRE = émpāer
EMPIRE'S = émpāerz
EMPIRES = émpāerz
EMPIRICAL = émpirikel
EMPIRICALLY = émpirikeli
EMPIRICALLY(1) = émpirikli
EMPIRICISM = émpiresizem
EMPIRICIST = impiresest
EMPLACEMENT = implēsment
EMPLACEMENTS = implēsments
EMPLOY = émplō
EMPLOY(1) = implō
EMPLOYABLE = émplōebel
EMPLOYED = émplōd
EMPLOYED(1) = implōd
EMPLOYEE = émplōi
EMPLOYEE(1) = implōi
EMPLOYEE'S = émplōiz
EMPLOYEE'S(1) = implōiz
EMPLOYEES = émplōiz
EMPLOYEES(1) = implōiz
EMPLOYEES' = émplōiz
EMPLOYER = émplōer
EMPLOYER(1) = implōer
EMPLOYER'S = émplōerz
EMPLOYER'S(1) = implōerz
EMPLOYERS = émplōerz
EMPLOYERS(1) = implōerz
EMPLOYERS' = émplōerz
EMPLOYERS'(1) = implōerz
EMPLOYING = émplōiŋ
EMPLOYING(1) = implōiŋ
EMPLOYMENT = émplōment
EMPLOYMENT(1) = implōment
EMPLOYMENTS = émplōments
EMPLOYMENTS(1) = implōments
EMPLOYS = émplōz
EMPLOYS(1) = implōz
EMPORIA = émporie
EMPORIUM = émporiem
EMPOWER = impàer
EMPOWERED = impàerd
EMPOWERING = impàeriŋ
EMPOWERMENT = impàerment
EMPOWERS = impàerz
EMPRESA = émprése
EMPRESAS = émprésez
EMPRESS = émprés
EMPRISE = émprāz
EMPSON = émpsen
EMPT = émpt
EMPT(1) = émt
EMPTED = émptid
EMPTED(1) = émtid
EMPTIED = émptid
EMPTIED(1) = émtid
EMPTIER = émptier
EMPTIER(1) = émtier
EMPTIES = émptiz
EMPTIES(1) = émtiz
EMPTINESS = émptines
EMPTINESS(1) = émtines
EMPTING = émptiŋ
EMPTING(1) = émtiŋ
EMPTION = émpśen
EMPTIVE = émptiv
EMPTOR = émpter
EMPTS = émpts
EMPTY = émpti
EMPTY(1) = émti
EMPTY-HANDED = émptihándid
EMPTYING = émptiiŋ
EMPTYING(1) = émtiiŋ
EMRICH = émrik
EMRICK = émrik
EMRY = émri
EMSLIE = émseli
EMSWILER = émzwāler
EMU = ímyú
EMUIL = émyúil
EMUIL'S = émyúilz
EMULATE = émyelēt
EMULATED = émyelētid
EMULATES = émyelēts
EMULATING = émyelētiŋ
EMULATION = émyelēśen
EMULEX = émyúleks
EMULSIFIER = imalsefāer
EMULSION = imalśen
EN = én
ENA = éne
ENABLE = énēbel
ENABLE(1) = inēbel
ENABLED = énēbeld
ENABLED(1) = inēbeld
ENABLER = énēbeler
ENABLER(1) = énēbler
ENABLER(2) = inēbler
ENABLER(3) = inēbeler
ENABLES = énēbelz
ENABLES(1) = inēbelz
ENABLING = énēbeliŋ
ENABLING(1) = inēbeliŋ
ENABLING(2) = inēbliŋ
ENACT = inákt
ENACTED = énákted
ENACTING = énáktiŋ
ENACTMENT = énáktment
ENACTMENT(1) = énákment
ENACTMENTS = énáktments
ENACTMENTS(1) = énákments
ENACTMENTS(2) = énákmens
ENACTS = inákts
ENAMEL = inámel
ENAMELED = inámeld
ENAMELS = inámelz
ENAMOR = énámer
ENAMORED = énámerd
ENAMORING = énámeriŋ
ENAMORS = énámerz
ENASA = ēnase
ENBERG = énberg
ENCAMP = inkámp
ENCAMPED = inkámpt
ENCAMPMENT = inkámpmint
ENCAMPMENTS = inkámpmints
ENCAPSULATE = énkápselēt
ENCAPSULATED = énkápselētid
ENCAPSULATING = énkápselētiŋ
ENCARNACION = énkarnesyón
ENCARTA = énkarta
ENCARTA(1) = énkarte
ENCASE = énkēs
ENCASED = énkēst
ENCATA = énkata
ENCATA(1) = énkate
ENCATA'S = énkataz
ENCATA'S(1) = énkatez
ENCEPHALITIS = énséfelātes
ENCEPHALOPATHY = énséfelópeŧi
ENCHANT = éncánt
ENCHANTED = éncántid
ENCHANTED(1) = éncánid
ENCHANTER = éncánter
ENCHANTER'S = éncánterz
ENCHANTER'S(1) = incánterz
ENCHANTER'S(2) = éncánerz
ENCHANTER'S(3) = incánerz
ENCHANTERS = éncánterz
ENCHANTERS(1) = incánterz
ENCHANTERS(2) = éncánerz
ENCHANTERS(3) = incánerz
ENCHANTING = éncántiŋ
ENCHANTING(1) = éncániŋ
ENCHANTMENT = éncántment
ENCHILADA = éncilade
ENCINAS = énsinez
ENCINIAS = insiníez
ENCINO = énsínò
ENCIRCLE = énserkel
ENCIRCLED = inserkeld
ENCIRCLEMENT = énserkelment
ENCIRCLING = énserkeliŋ
ENCIRCLING(1) = énserkliŋ
ENCISO = insísò
ENCK = éŋk
ENCLAVE = anklēv
ENCLAVE(1) = énklēv
ENCLAVES = anklēvz
ENCLAVES(1) = énklēvz
ENCLOSE = inklòz
ENCLOSED = énklòzd
ENCLOSED(1) = inklòzd
ENCLOSING = énklòziŋ
ENCLOSURE = énklòźer
ENCLOSURE(1) = inklòźer
ENCLOSURES = inklòźerz
ENCODE = énkòd
ENCODED = énkòdid
ENCODING = énkòdiŋ
ENCOMPASS = énkampes
ENCOMPASSED = énkampest
ENCOMPASSES = énkampesez
ENCOMPASSING = énkampesiŋ
ENCOR = énkor
ENCOR'S = énkorz
ENCORE = ankor
ENCORES = ankorz
ENCOUNTER = inkànter
ENCOUNTER(1) = inkàner
ENCOUNTERED = inkànterd
ENCOUNTERED(1) = inkànerd
ENCOUNTERING = énkànteriŋ
ENCOUNTERING(1) = énkàneriŋ
ENCOUNTERS = inkànterz
ENCOUNTERS(1) = inkànerz
ENCOURAGE = énkerij
ENCOURAGE(1) = inkerej
ENCOURAGED = énkerijd
ENCOURAGED(1) = inkerejd
ENCOURAGEMENT = énkerijment
ENCOURAGES = énkerijiz
ENCOURAGES(1) = inkerejez
ENCOURAGING = énkerijiŋ
ENCOURAGING(1) = inkerejiŋ
ENCROACH = inkròc
ENCROACHED = inkròct
ENCROACHES = inkròciz
ENCROACHING = inkròciŋ
ENCROACHMENT = énkròcment
ENCROACHMENTS = inkròcments
ENCRUST = énkrast
ENCRUSTED = énkrastid
ENCRUSTING = énkrastiŋ
ENCRYPT = énkript
ENCRYPT(1) = inkript
ENCRYPTED = énkriptid
ENCRYPTED(1) = inkriptid
ENCRYPTION = énkripśen
ENCUMBER = énkamber
ENCUMBERED = énkamberd
ENCYCLICAL = énsiklikel
ENCYCLICALS = énsiklikelz
ENCYCLOPAEDIA = insāklepídie
ENCYCLOPAEDIA(1) = insāklòpídie
ENCYCLOPEDIA = insāklepídie
ENCYCLOPEDIA(1) = insāklòpídie
ENCYCLOPEDIAS = insāklepídiez
ENCYCLOPEDIAS(1) = insāklòpídiez
ENCYCLOPEDIC = insāklepídik
ENCYCLOPEDIC(1) = insāklòpídik
ENCYCLOPEDIST = insāklepídest
ENCYCLOPEDIST(1) = insāklòpídest
END = énd
ENDAKA = éndake
ENDANGER = éndēnjer
ENDANGERED = éndēnjerd
ENDANGERED(1) = indēnjerd
ENDANGERING = éndēnjeriŋ
ENDANGERMENT = éndēnjerment
ENDANGERS = éndēnjerz
ENDARA = éndare
ENDE = énd
ENDEAR = éndír
ENDEARED = éndírd
ENDEARING = éndíriŋ
ENDEARMENT = indirment
ENDEAVOR = indéver
ENDEAVOR'S = indéverz
ENDEAVORED = indéverd
ENDEAVORING = indéveriŋ
ENDEAVORING(1) = indévriŋ
ENDEAVORS = indéverz
ENDEAVOUR = indéver
ENDEAVOUR'S = indéverz
ENDED = énded
ENDED(1) = éndid
ENDELMAN = éndelmen
ENDEMIC = éndémik
ENDER = énder
ENDERBY = énderbi
ENDERLE = énderel
ENDERLIN = énderlin
ENDERS = énderz
ENDERSON = éndersen
ENDEVCO = éndévkò
ENDGAME = éndgēm
ENDGAMES = éndgēmz
ENDICOTT = éndikot
ENDING = éndiŋ
ENDINGS = éndiŋz
ENDIVE = éndiv
ENDLER = éndler
ENDLESS = éndles
ENDLESSLY = éndlesli
ENDLICH = éndlik
ENDO = éndò
ENDOCRINE = éndòkrān
ENDOCRINOLOGIST = éndòkrenolejest
ENDOCRINOLOGIST'S = éndòkrenolejests
ENDOCRINOLOGISTS = éndòkrenolejests
ENDOCRINOLOGY = éndòkrenoleji
ENDODERMAL = éndòdermel
ENDOGENOUS = éndójénes
ENDOMETRIAL = éndòmítriel
ENDOMETRIOSIS = éndòmétriòsis
ENDORPHIN = éndorfin
ENDORPHINS = éndorfinz
ENDORSE = éndors
ENDORSED = éndorst
ENDORSEMENT = éndorsment
ENDORSEMENTS = éndorsments
ENDORSER = indorser
ENDORSERS = indorserz
ENDORSES = éndorsiz
ENDORSING = éndorsiŋ
ENDOSCOPE = éndòskòp
ENDOSCOPIC = éndòskopik
ENDOSCOPY = éndóskepi
ENDOSPERM = éndesperm
ENDOTHELIAL = éndòŧílíel
ENDOTHERMIC = éndòŧermik
ENDOTRONICS = éndòtroniks
ENDOTRONICS' = éndetroniks
ENDOTRONICS'S = éndòtroniksiz
ENDOW = éndà
ENDOWED = éndàd
ENDOWING = éndàiŋ
ENDOWMENT = éndàment
ENDOWMENT'S = éndàments
ENDOWMENTS = éndàments
ENDOWS = éndàz
ENDPOINT = éndpōnt
ENDPOINTS = éndpōnts
ENDPRODUCT = éndpródekt
ENDPRODUCTS = éndpródekts
ENDRES = énderz
ENDRESS = éndris
ENDRIZZI = indrítsi
ENDS = éndz
ENDSLEY = éndsli
ENDTIMER = éndtāmer
ENDTIMERS = éndtāmerz
ENDUED = éndúd
ENDURANCE = énderens
ENDURE = éndyur
ENDURE(1) = indur
ENDURED = éndyurd
